nome,url,ISIN

# ====================================
# CERTIFICATI
# ====================================

Is Ep Cp Euro Stoxx Banks 82.124 300627,https://www.teleborsa.it/sedex-securitised-derivates/is-ep-cp-euro-stoxx-banks-82-124-300627-i08396-xs2480901110-WFMyNDgwOTAxMTEw,XS2480901110
Is Bon Cap Stellantis 17.3844 55 130927,https://www.teleborsa.it/sedex-securitised-derivates/is-bon-cap-stellantis-17-3844-55-130927-i09512-xs2651529708-WFMyNjUxNTI5NzA4,XS2651529708
Is Cc Volkswagen Pref 114.32 55 310528,https://www.teleborsa.it/sedex-securitised-derivates/is-cc-volkswagen-pref-114-32-55-310528-i10147-xs2803386726-WFMyODAzMzg2NzI2,XS2803386726
Is Bon Cap Airbus 152.954 55 310528,https://www.teleborsa.it/sedex-securitised-derivates/is-bon-cap-airbus-152-954-55-310528-i10146-xs2803386056-WFMyODAzMzg2MDU2,XS2803386056
Is Ep Cp Euribor 3M .0195 291128,https://www.teleborsa.it/sedex-securitised-derivates/is-ep-cp-euribor-3m-0195-291128-i10560-xs2922665703-WFMyOTIyNjY1NzAz,XS2922665703
Is Cc Puma/Adidas/Dk/Vf/Nike 60 310128,https://www.teleborsa.it/sedex-securitised-derivates/is-cc-puma-adidas-dk-vf-nike-60-310128-i09770-xs2733100296-WFMyNzMzMTAwMjk2,XS2733100296
Is Bon Cap Amazon Inc 207.84 55 291128,https://www.teleborsa.it/sedex-securitised-derivates/is-bon-cap-amazon-inc-207-84-55-291128-i10555-xs2922658328-WFMyOTIyNjU4MzI4,XS2922658328

# ====================================
# BTP
# ====================================

Btp Italia Nv28 Eur,https://www.teleborsa.it/obbligazioni-titoli-di-stato/btp-italia-nv28-eur-it0005517195-it0005517195-SVQwMDA1NTE3MTk1,IT0005517195
Btp Valore Gn27 Eur,https://www.teleborsa.it/obbligazioni-titoli-di-stato/btp-valore-gn27-eur-it0005547408-it0005547408-SVQwMDA1NTQ3NDA4,IT0005547408
Btp Piu' Sc Fb33 Eur,https://www.teleborsa.it/obbligazioni-titoli-di-stato/btp-piu-sc-fb33-eur-it0005634800-it0005634800-SVQwMDA1NjM0ODAw,IT0005634800

# ====================================
# TITOLI
# ====================================

Eurizon Manager Selection Fund - MS 40 R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-manager-selection-fund---ms-40-r,LU0256013359
Eurizon Fund - Bond High Yield R,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-fund---bond-high-yield-r,LU0114074718
Eurizon Opportunità Obbligazionaria Plus Dicembre 2029,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-opportunita-obbligazionaria-plus-dicembre-2029,IT0005609737
Eurizon Bilanciato 50 - Edizione 2,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-bilanciato-50-edizione-2,IT0005609851
Eurizon Azioni America,https://www.eurizoncapital.com/it-IT/offerta/prodotti/prodotti/eurizon-azioni-america,IT0001050126
